Name,type,subtype,bulk size,bulk unit,serving size,serving size unit,bulk cost
CASA TEQUILA,spirit,tequila,750.0,ml,2.0,oz,400.0
Casa Acosta,spirit,tequila,750.0,ml,2.0,oz,0
Cazadores,spirit,tequila,750.0,ml,2.0,oz,0
Centenario Rep.,spirit,tequila,750.0,ml,2.0,oz,0
Centaenario Plata,spirit,tequila,750.0,ml,2.0,oz,0
7 Leguas,spirit,tequila,750.0,ml,2.0,oz,0
Herradura Rep,spirit,tequila,750.0,ml,2.0,oz,0
Herradura de Plata,spirit,tequila,335.0,ml,2.0,oz,0
1800 Rep,spirit,tequila,750.0,ml,2.0,oz,0
1800 Cristalino,spirit,tequila,750.0,ml,2.0,oz,0
1800 Anejo,spirit,tequila,750.0,ml,2.0,oz,0
Don Julio Rep,spirit,tequila,750.0,ml,2.0,oz,0
Don Julio Blano,spirit,tequila,750.0,ml,2.0,oz,0
Don Julio 70,spirit,tequila,750.0,ml,2.0,oz,0
Don Julio 1942,spirit,tequila,750.0,ml,2.0,oz,0
Don Julio Chile,spirit,tequila,750.0,ml,2.0,oz,0
Patron Silver Blanco,spirit,tequila,750.0,ml,2.0,oz,0
CASA MEZCAL,spirit,mezcal,750.0,ml,2.0,oz,0
400 Canejos,spirit,mezcal,750.0,ml,2.0,oz,0
Union,spirit,mezcal,750.0,ml,2.0,oz,0
Anador,spirit,mezcal,750.0,ml,2.0,oz,0
Tiahuani,spirit,mezcal,750.0,ml,2.0,oz,0
CASA VODKA,spirit,vodka,1000.0,ml,2.0,oz,0
Smirnoff,spirit,vodka,1000.0,ml,2.0,oz,0
Absolut,spirit,vodka,750.0,ml,2.0,oz,0
Absolut Rasberry,spirit,vodka,750.0,ml,2.0,oz,0
Ketel One,spirit,vodka,750.0,ml,2.0,oz,0
Titos,spirit,vodka,1000.0,ml,2.0,oz,0
Grey Goose,spirit,vodka,750.0,ml,2.0,oz,0
Belvedere,spirit,vodka,750.0,ml,2.0,oz,0
Krasnaya Tamarinda,spirit,vodka,1000.0,ml,2.0,oz,0
CASA GIN,spirit,gin,750.0,ml,2.0,oz,0
Tanqueray,spirit,gin,750.0,ml,2.0,oz,0
Bombay,spirit,gin,750.0,ml,2.0,oz,0
Builders,spirit,gin,750.0,ml,2.0,oz,0
Abrojo,spirit,gin,750.0,ml,2.0,oz,0
Diega Limon,spirit,gin,750.0,ml,2.0,oz,0
CASA RUM-RON,spirit,rum,1000.0,ml,2.0,oz,0
Bacardi Blanco,spirit,rum,1750.0,ml,2.0,oz,0
Bacardi Ocho Anos,spirit,rum,750.0,ml,2.0,oz,0
Havana 3,spirit,rum,750.0,ml,2.0,oz,0
Capitan Morgan,spirit,rum,750.0,ml,2.0,oz,0
Havana 7,spirit,rum,750.0,ml,2.0,oz,0
CASA WHISKEY,spirit,whiskey,1750.0,ml,2.0,oz,245.0
Jim Beam,spirit,whiskey,750.0,ml,2.0,oz,0
Johnnie Walker Rojo,spirit,whiskey,750.0,ml,2.0,oz,0
Jameson,spirit,whiskey,750.0,ml,2.0,oz,0
Wild Turkey,spirit,whiskey,750.0,ml,2.0,oz,0
Crown Royal,spirit,whiskey,1000.0,ml,2.0,oz,0
Jack Daniels,spirit,whiskey,1000.0,ml,2.0,oz,0
Bulleit Burboun,spirit,whiskey,750.0,ml,2.0,oz,0
